Argentina,11
Australia,7
Belarus,2
Belgium,3
Brazil,9
Canada,28
China,180
Denmark,3
ESA,33
Egypt,2
France,9
France/Belgium/Sweden,2
France/Italy,3
France/Italy/Belgium/Spain/Greece,2
Germany,24
Germany/USA,2
India,38
India/France,2
Indonesia,8
Israel,12
Italy,7
Japan,57
Kazakhstan,4
Luxembourg,18
Malaysia,4
Mexico,4
Multinational,67
Netherlands,10
Nigeria,3
Norway,6
Russia,136
Russia/USA,2
Saudi Arabia,11
Singapore,9
South Africa,2
South Korea,9
Spain,15
Sweden,2
Switzerland,2
Taiwan/USA,5
Thailand,5
Turkey,6
USA,561
USA/Argentina,4
USA/Canada,2
USA/France,2
USA/Japan,4
United Arab Emirates,6
United Kingdom,41
Venezuela,2
Vietnam,3
